PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
4584683;"Instalación Deportiva Municipal Básica Puerto de Costabona";"";"";"Pista de fútbol sala Tenis de mesa  Acceso libre.";"Consulta los siguientes enlaces.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=427f3d7dcf2c2110VgnVCM1000000b205a0aRCRD";"PUERTO DE COSTABONA";"CALLE";"V";"7";"";"";"";"CUBIERTA P.A.R.";"MADRID";"MADRID";"28018";"3";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"444058";"4470737";"40.38534920722133";"-3.6590852750953227";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaFutbolSala"
50267156;"Instalación Deportiva Municipal Básica Pump Track";"";"";"Pista de BMX pump track  Acceso libre.";"Metro: La Gavia (línea 1).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1cc3866bb6a2d910VgnVCM100000891ecb1aRCRD";"PEÑARANDA DE BRACAMONTE";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28051";"3";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"448698";"4469523";"40.37317451403169";"-3.603694168563951";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CircuitoBMX"
50313654;"Instalación Deportiva Municipal Básica Pump Track Arroyo del Fresno";"";"";"Circuito de pump track  Parque de calistenia  Acceso libre.";"Metro: Lacoma (línea 7).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f52aad3930b3e910VgnVCM100000891ecb1aRCRD";"ARROYO DEL MONTE";"CALLE";"V";"";"";"";"";"C/V GLORIETA IRENE GUTIÉRREZ CABA";"MADRID";"MADRID";"28049";"3";"PEÑA GRANDE";"8";"FUENCARRAL-EL PARDO";"437934";"4481945";"40.48620496454493";"-3.733590707451643";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Calistenia"
50267691;"Instalación Deportiva Municipal Básica Pump Track de Butarque";"";"";"Pista de pump track  Pista polideportiva Pista de skate   Acceso libre.";"Renfe: Villaverde Bajo (línea C3 y C4).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f97dfcc3de2d910VgnVCM200000f921e388RCRD";"LOS ROSALES";"AVENIDA";"V";"137";"";"";"";"";"MADRID";"MADRID";"28021";"3";"BUTARQUE";"17";"VILLAVERDE";"442691";"4466660";"40.34852825960244";"-3.674819952829727";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CircuitoBMX"
50240951;"Instalación Deportiva Municipal Básica Pump Track en zona forestal de la M-30";"";"";"Pista BMX pump track   Acceso libre.";"Consulta los siguientes enlaces.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bca5969f1bdac910VgnVCM100000891ecb1aRCRD";"ROSA JARDON";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"443252";"4479656";"40.46564600595206";"-3.66937046960607";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CircuitoBMX"
4526685;"Instalación Deportiva Municipal Básica Pádel La Masó";"";"";"Unidades deportivas cubiertas:   Fisio-hidroterapia 3 salas multiusos   Unidades deportivas al aire libre:   15 pistas de pádel (8 cubiertas)  Acceso controlado.";"Consulta los siguientes enlaces.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=32fe94a5989e0110VgnVCM1000000b205a0aRCRD";"LA MASO";"CALLE";"V";"34";"";"";"";"C/V COLLADO DE CERRO MALEJO";"MADRID";"MADRID";"28034";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"439459";"4482386";"40.48996671214207";"-3.7143866142884456";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPadel"
7267217;"Instalación Deportiva Municipal Básica Pádel Madrid Las Tablas";"";"";"14 pistas de pádel (10 cubiertas) 4 pistas de tenis  Acceso controlado.";"Metro: Las Tablas (línea 10).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c33d25f63fb3410VgnVCM1000000b205a0aRCRD";"CAMINO DE SANTIAGO";"AVENIDA";"V";"25";"";"";"";"";"MADRID";"MADRID";"28050";"6";"VALVERDE";"8";"FUENCARRAL-EL PARDO";"442884";"4483775";"40.50272219093648";"-3.674088278900579";"915 45 69 72 
WhatsApp: 34 608 057 475";"";"somos@lastablassports.club";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasTenisBadminton"
4547407;"Instalación Deportiva Municipal Básica Pádel Tres Olivos I";"";"";"7 pistas de pádel (4 cubiertas)  Acceso controlado.";"Consulta los siguientes enlaces.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a42e130360391110VgnVCM2000000c205a0aRCRD";"CUEVA DE MONTESINOS";"CALLE";"V";"27";"";"";"";"";"MADRID";"MADRID";"28034";"6";"VALVERDE";"8";"FUENCARRAL-EL PARDO";"441457";"4483368";"40.49896370465188";"-3.6908807947318545";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPadel"
50331126;"Instalación Deportiva Municipal Básica Quinta de los Molinos Calistenia";"";"";"Parque de calistenia  Acceso libre.";"Metro: Suanzes (línea 5).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c3040554d579e910VgnVCM200000f921e388RCRD";"QUINTA DE LOS MOLINOS";"PARQUE";"T";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"446577";"4477652";"40.44400657460993";"-3.627700630252457";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Calistenia"
4557262;"Instalación Deportiva Municipal Básica Quinta de los Molinos I - Daniel Guzman Alvarez 'Pegasito'";"";"";"Atletismo calles Pista de baloncesto Pista de skate  Acceso libre.";"Metro: Suanzes (línea 5).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fb39695ed9e1110VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"535";"";"";"";"";"MADRID";"MADRID";"28027";"8";"EL SALVADOR";"20";"SAN BLAS-CANILLEJAS";"447056";"4476976";"40.441757700827274";"-3.624280711174716";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasAtletismo"
6346926;"Instalación Deportiva Municipal Básica Quinta de los Molinos II";"";"";"Campo de fútbol 7 césped artificial Prácticas de golf 3 pistas de pádel 2 pistas polideportivas Pista de tenis mini Pista de baloncesto  Acceso controlado.";"Metro: Suanzes (línea 5).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=367511f66a6f5310VgnVCM1000000b205a0aRCRD";"IQUITOS";"CALLE";"V";"85";"";"";"";"";"MADRID";"MADRID";"28027";"8";"EL SALVADOR";"20";"SAN BLAS-CANILLEJAS";"446717";"4476912";"40.4411574157068";"-3.6282742779177526";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"
4544060;"Instalación Deportiva Municipal Básica Ramírez de Prado";"";"";"Pista de baloncesto Pista de patinaje  Acceso libre.";"Metro: Delicias (línea 3).  Renfe: Delicias (líneas C1 y C10).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3bfed95d4a471110VgnVCM1000000b205a0aRCRD";"RAMIREZ DE PRADO";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28045";"5";"DELICIAS";"2";"ARGANZUELA";"441489";"4472308";"40.39927158889713";"-3.6892581804473683";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"
4633340;"Instalación Deportiva Municipal Básica Ramón Gómez de la Serna";"";"";"Campo de fútbol 11 de césped artificial Campo de minipitch de césped artificial  Acceso controlado.";"Metro: Lacoma (línea 7).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=99cc30fdedac4110VgnVCM1000000b205a0aRCRD";"RAMON GOMEZ DE LA SERNA";"CALLE";"V";"22";"";"";"";"";"MADRID";"MADRID";"28035";"3";"PEÑA GRANDE";"8";"FUENCARRAL-EL PARDO";"438569";"4481797";"40.48459542261755";"-3.72483060450493";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"
4584500;"Instalación Deportiva Municipal Básica Ramón Pérez de Ayala";"";"";"Pista de baloncesto 2 pistas de fútbol sala 2 tenis de mesa  Acceso libre.";"Consulta los siguientes enlaces.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38cf958fac2c2110VgnVCM1000000b205a0aRCRD";"ANGEL FRANCES";"PLAZA";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"444594";"4472272";"40.39921237379683";"-3.6529003876637383";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaFutbolSala"
4556628;"Instalación Deportiva Municipal Básica Rancho del Cordobés";"";"";"2 pistas de baloncesto Parque de calistenia Pista de patinaje Pista polideportiva  Acceso libre.";"Metro: Hospital Doce de Octubre (línea 3).";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=909a2414d35e1110VgnVCM1000000b205a0aRCRD";"PINSAPO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28041";"2";"ORCASUR";"12";"USERA";"440927";"4468850";"40.36813407300108";"-3.69579530482948";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"
5870423;"Instalación Deportiva Municipal Básica Recinto Ferial San Antonio de la Florida";"";"";"Pista polideportiva (fútbol sala y balonmano)  Acceso libre.";"Metro: Príncipe Pío (líneas 6, 10 y R).  Renfe: Príncipe Pío (líneas C1, C7 y C10).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b096bcc750f5c210VgnVCM1000000b205a0aRCRD";"SAN ANTONIO DE LA FLORIDA";"GLORIETA";"V";"10";"";"";"";"";"MADRID";"MADRID";"28008";"1";"CASA DE CAMPO";"9";"MONCLOA-ARAVACA";"438346";"4475253";"40.42609921330982";"-3.726181571655934";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaFutbolSala"
4544084;"Instalación Deportiva Municipal Básica Ricardo Damas";"";"";"Pista de fútbol sala  Acceso libre.";"Metro: Legazpi (línea 3 y 6).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f0cc37a2b471110VgnVCM1000000b205a0aRCRD";"RICARDO DAMAS";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28045";"4";"LEGAZPI";"2";"ARGANZUELA";"441253";"4470738";"40.38516507804954";"-3.692142254888889";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaFutbolSala"
6344730;"Instalación Deportiva Municipal Básica Rocódromo";"";"";"Rocódromo Pista skate  Acceso libre.";"Metro: Las Suertes (línea 1).";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2f8d4eb171f5310VgnVCM1000000b205a0aRCRD";"LA GAVIA";"AVENIDA";"V";"64";"";"";"";"";"MADRID";"MADRID";"28051";"3";"ENSANCHE DE VALLECAS";"18";"VILLA DE VALLECAS";"447715";"4468849";"40.36857871193489";"-3.6158461845807466";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
6280408;"Instalación Deportiva Municipal Básica Rocódromo 'Roc 30'";"Escuela de escalada.";"De lunes a viernes de 14:30 a 19 horas.";"Rocódromo cubierto  Acceso controlado.";"Metro: Marqués de Vadillo (línea 5).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa670286ac984310VgnVCM1000000b205a0aRCRD";"SAN ILLAN";"PASEO";"V";"106";"";"";"";"";"MADRID";"MADRID";"28019";"3";"SAN ISIDRO";"11";"CARABANCHEL";"438573";"4472639";"40.402099540343805";"-3.7238808954116673";"915 273 801";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
50313622;"Instalación Deportiva Municipal Básica Rocódromo Avenida de la Ilustración";"";"";"Rocódromo  Acceso libre.";"Metro: Herrera Oria (Línea 9).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d9944694aea3e910VgnVCM100000891ecb1aRCRD";"PEDRO RICO";"CALLE";"V";"43";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"FUENCARRAL-EL PARDO";"441507";"4481207";"40.48304194192133";"-3.700286796894022";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
50239346;"Instalación Deportiva Municipal Básica Rocódromo Parque Enrique Tierno Galván";"";"";"Rocódromo  Acceso libre.";"Metro: Arganzuela - Planetario (línea 6).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=148e78b064e9c910VgnVCM100000891ecb1aRCRD";"ENRIQUE TIERNO GALVAN";"PARQUE";"T";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"441836";"4471686";"40.39374970077287";"-3.6853474955073717";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
50256467;"Instalación Deportiva Municipal Básica Rocódromo Parque María de Austria";"";"";"Rocódromo  Acceso libre.";"Metro: Pan Bendito (línea 11).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2419731a327ec910VgnVCM100000891ecb1aRCRD";"CAZALEGAS";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28025";"7";"ABRANTES";"11";"CARABANCHEL";"438216";"4469682";"40.37543686372127";"-3.727805203932704";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
11080873;"Instalación Deportiva Municipal Básica Rocódromo de Manoteras";"";"";"Rocódromo Parque de calistenia  Acceso libre.";"Metro: Manoteras (línea 4).";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1150d952c30de610VgnVCM1000001d4a900aRCRD";"BACARES";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28033";"5";"APOSTOL SANTIAGO";"16";"HORTALEZA";"443851";"4480837";"40.476321176468005";"-3.6624133831469945";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Calistenia"
50264513;"Instalación Deportiva Municipal Básica Rocódromo el Paraíso";"";"";"Rocódromo  Acceso libre.";"Metro: Simancas (línea 7).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=04501cb1bcf1d910VgnVCM100000891ecb1aRCRD";"ARCENTALES";"AVENIDA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28037";"2";"HELLIN";"20";"SAN BLAS-CANILLEJAS";"447225";"4475667";"40.42997621103139";"-3.6221773579444596";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
4629951;"Instalación Deportiva Municipal Básica Rodríguez Sahagún (Campo de fútbol)";"";"";"Campo de fútbol 11 de césped artificial  Acceso controlado.";"Consulta los siguientes enlaces.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc3fdfd39c794110VgnVCM1000000b205a0aRCRD";"MIRAMELINDOS";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28039";"5";"VALDEACEDERAS";"6";"TETUAN";"439942";"4479884";"40.469631156523825";"-3.708866726880464";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"
4629936;"Instalación Deportiva Municipal Básica Rodríguez Sahagún I (Capitán Blanco Argibay)";"";"";"2 pistas de baloncesto 2 pistas de fútbol sala Pista polideportiva Pista de voleibol  Acceso libre.";"Consulta los siguientes enlaces.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c51553332b794110VgnVCM1000000b205a0aRCRD";"CAPITAN BLANCO ARGIBAY";"CALLE";"V";"173";"";"";"";"";"MADRID";"MADRID";"28029";"5";"VALDEACEDERAS";"6";"TETUAN";"439740";"4480162";"40.46995417209459";"-3.710836991177557";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaVoleibol"
4549250;"Instalación Deportiva Municipal Básica Rodríguez Sahagún II (Los Pinos)";"";"";"2 pistas de baloncesto 2 pistas de bolos y petanca Pista de patinaje 2 pistas polideportivas (1 cubierta) 3 tenis de mesa  Acceso libre.";"Consulta los siguientes enlaces.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb9f22cad8d91110VgnVCM2000000c205a0aRCRD";"DIRECCION";"PASEO";"V";"299";"";"";"";"";"MADRID";"MADRID";"28029";"5";"VALDEACEDERAS";"6";"TETUAN";"440268";"4480183";"40.4701829077932";"-3.7046136733997463";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaBolosPetancaCalvaChito"
